,序号,标题,链接,导演,评分,评价人数,简介
10,11,辛德勒的名单,https://movie.douban.com/subject/1295124/,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson...,9.5,1170246人评价,拯救一个人，就是拯救整个世界。
11,12,忠犬八公的故事,https://movie.douban.com/subject/3011091/,导演: 莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger...,9.4,1450313人评价,永远都不能忘记你所爱的人。
12,13,海上钢琴师,https://movie.douban.com/subject/1292001/,导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 蒂姆·罗斯 Tim Roth / ...,9.3,1748268人评价,每个人都要走一条自己坚定了的路，就算是粉身碎骨。
13,14,三傻大闹宝莱坞,https://movie.douban.com/subject/3793023/,导演: 拉库马·希拉尼 Rajkumar Hirani   主演: 阿米尔·汗 Aamir Khan / 卡...,9.2,1938941人评价,英俊版憨豆，高情商版谢耳朵。
14,15,放牛班的春天,https://movie.douban.com/subject/1291549/,导演: 克里斯托夫·巴拉蒂 Christophe Barratier   主演: 让-巴蒂斯特·莫尼...,9.3,1373319人评价,天籁一般的童声，是最接近上帝的存在。
15,16,机器人总动员,https://movie.douban.com/subject/2131459/,导演: 安德鲁·斯坦顿 Andrew Stanton   主演: 本·贝尔特 Ben Burtt / 艾丽...,9.3,1377954人评价,小瓦力，大人生。
16,17,疯狂动物城,https://movie.douban.com/subject/25662329/,导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore   主演: 金妮弗·...,9.2,2055216人评价,迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。
17,18,无间道,https://movie.douban.com/subject/1307914/,导演: 刘伟强 / 麦兆辉   主演: 刘德华 Andy Lau / 梁朝伟 Tony Leung Chiu W...,9.3,1441221人评价,香港电影史上永不过时的杰作。
18,19,控方证人,https://movie.douban.com/subject/1296141/,导演: 比利·怀尔德 Billy Wilder   主演: 泰隆·鲍华 Tyrone Power / 玛琳·...,9.6,618315人评价,比利·怀德满分作品。
19,20,大话西游之大圣娶亲,https://movie.douban.com/subject/1292213/,导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...,9.2,1598612人评价,一生所爱。
20,21,熔炉,https://movie.douban.com/subject/5912992/,导演: 黄东赫 Dong-hyuk Hwang   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...,9.4,972710人评价,我们一路奋战不是为了改变世界，而是为了不让世界改变我们。
21,22,教父,https://movie.douban.com/subject/1291841/,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 马龙·白兰度 M...,9.3,1019195人评价,千万不要记恨你的对手，这样会让你失去理智。
22,23,触不可及,https://movie.douban.com/subject/6786002/,导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...,9.3,1183572人评价,满满温情的高雅喜剧。
23,24,当幸福来敲门,https://movie.douban.com/subject/1849031/,导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ...,9.2,1583781人评价,平民励志片。
24,25,寻梦环游记,https://movie.douban.com/subject/20495023/,导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina   主演: ...,9.1,1785413人评价,死亡不是真的逝去，遗忘才是永恒的消亡。
25,26,末代皇帝,https://movie.douban.com/subject/1293172/,导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone / 陈...,9.3,940990人评价,“不要跟我比惨，我比你更惨”再适合这部电影不过了。
26,27,龙猫,https://movie.douban.com/subject/1291560/,导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...,9.2,1323288人评价,人人心中都有个龙猫，童年就永远不会消失。
27,28,怦然心动,https://movie.douban.com/subject/3319755/,导演: 罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...,9.1,1915376人评价,真正的幸福是来自内心深处。
28,29,活着,https://movie.douban.com/subject/1292365/,导演: 张艺谋 Yimou Zhang   主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang,9.3,895056人评价,张艺谋最好的电影。
29,30,哈利·波特与魔法石,https://movie.douban.com/subject/1295038/,导演: Chris Columbus   主演: Daniel Radcliffe / Emma Watson / Rupert Grint,9.2,1266954人评价,童话世界的开端。
30,31,蝙蝠侠：黑暗骑士,https://movie.douban.com/subject/1851857/,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...,9.2,1113678人评价,无尽的黑暗。
31,32,指环王3：王者无敌,https://movie.douban.com/subject/1291552/,导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...,9.3,844405人评价,史诗的终章。
32,33,我不是药神,https://movie.douban.com/subject/26752088/,导演: 文牧野 Muye Wen   主演: 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...,9.0,2199223人评价,对我们国家而言，这样的电影多一部是一部。
33,34,乱世佳人,https://movie.douban.com/subject/1300267/,导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor   主演: 费...,9.3,726642人评价,Tomorrow is another day.
34,35,飞屋环游记,https://movie.douban.com/subject/2129039/,导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson   主演: 爱德...,9.1,1390667人评价,最后那些最无聊的事情，才是最值得怀念的。
35,36,素媛,https://movie.douban.com/subject/21937452/,导演: 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...,9.3,721850人评价,受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。
36,37,哈尔的移动城堡,https://movie.douban.com/subject/1308807/,导演: 宫崎骏 Hayao Miyazaki   主演: 倍赏千惠子 Chieko Baishô / 木村拓...,9.1,1151784人评价,带着心爱的人在天空飞翔。
37,38,十二怒汉,https://movie.douban.com/subject/1293182/,导演: Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...,9.4,524788人评价,1957年的理想主义。
